Instance,Opt,STD,,STD_LOG,,STD_PIECE,,STD_SINE,,STD_SINGER,,STD_SINU,,STD_TENT,,STD_CIRCLE,
,,best,avg,best,avg,best,avg,best,avg,best,avg,best,avg,best,avg,best,avg
1_1000,54503.0,53838.0,53373.61,52617.0,52172.35,53702.0,53227.48,53673.0,52915.03,49162.0,48070.29,48934.0,46859.13,53760.0,53386.55,54264.0,54064.48
1_100,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0
1_2000,110625.0,106338.0,104652.94,103254.0,101973.0,105308.0,104361.61,104502.0,103313.39,94623.0,91299.23,95130.0,90711.0,106008.0,105053.06,108462.0,108065.45
1_200,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0
1_500,28857.0,28857.0,28834.77,28834.0,28689.06,28857.0,28831.26,28857.0,28758.32,28328.0,27587.42,27513.0,26267.65,28857.0,28829.55,28857.0,28850.32
2_1000,9052.0,9030.0,9010.29,8997.0,8965.71,9033.0,9011.42,9029.0,8991.52,8888.0,8778.58,8738.0,8594.29,9032.0,9006.06,9028.0,9011.26
2_100,1514.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0
2_2000,18051.0,17818.0,17725.68,17640.0,17548.26,17778.0,17704.65,17706.0,17648.1,17081.0,16891.94,16932.0,16712.71,17787.0,17711.03,17970.0,17923.35
2_200,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1633.94,1634.0,1633.35,1634.0,1634.0,1634.0,1632.97
2_500,4566.0,4566.0,4561.29,4566.0,4557.35,4566.0,4566.0,4566.0,4566.0,4544.0,4516.77,4534.0,4460.94,4566.0,4561.97,4557.0,4551.26
3_1000,14390.0,14189.0,14101.65,13988.0,13904.23,14189.0,14101.61,14187.0,14067.84,13387.0,13219.48,13381.0,13052.45,14188.0,14118.03,14290.0,14288.0
3_100,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2396.1
3_2000,28919.0,27910.0,27679.81,27315.0,27116.55,27811.0,27652.32,27616.0,27408.87,25815.0,25341.32,25818.0,25276.29,28112.0,27790.55,28419.0,28334.06
3_200,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0
3_500,7117.0,7117.0,7112.13,7017.0,7016.94,7117.0,7104.71,7117.0,7062.87,6914.0,6824.55,6816.0,6664.06,7117.0,7108.29,7117.0,7117.0
